% x                      y                        z                        
1.0                      0.0                      
1.6487212                0.2537043                
2.7182817                0.47285426               
4.481689                 0.6560308                
7.389056                 0.8157242                
12.182494                0.9520469                
20.085537                1.0757647                
33.11545                 1.1913575                
54.59815                 1.3019718                
90.01713                 1.4053607                
148.41316                1.5109757                
244.69193                1.6140252                
403.4288                 1.7101481                
665.14166                1.8003153                
1096.6332                1.8842648                
